,sentence,tokens,labels
177,pumps three different serums supposed mixed palmon fingers applied morning night .,"['pumps', 'three', 'different', 'serums', 'supposed', 'mixed', 'palmon', 'fingers', 'applied', 'morning', 'night', '.']","['O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
178,wish usage instructions product page bottle.slight scent reminds lancome products .,"['wish', 'usage', 'instructions', 'product', 'page', 'bottle.slight', 'scent', 'reminds', 'lancome', 'products', '.']","['O', 'O', 'O', 'B_PT', 'O', 'O', 'B-SC-NEU', 'O', 'B_BR', 'B_PT', 'O']"
179,serums absorb well though skin still somewhat tacky even 30 minutes application .,"['serums', 'absorb', 'well', 'though', 'skin', 'still', 'somewhat', 'tacky', 'even', '30', 'minutes', 'application', '.']","['B_PT', 'B-AB-POS', 'I-AB-POS', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
180,not issue im applying products one.i like ingredients theoretically targets concerns dark spots lines loss fullness .,"['not', 'issue', 'im', 'applying', 'products', 'one.i', 'like', 'ingredients', 'theoretically', 'targets', 'concerns', 'dark', 'spots', 'lines', 'loss', 'fullness', '.']","['O', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'B_IN', 'O', 'O', 'O', 'B-VP-NEU', 'I-VP-NEU', 'B-VP-NEU', 'O', 'O', 'O']"
181,pricey .67 ounces bottle would make think see results similar photos product page ill get .,"['pricey', '.67', 'ounces', 'bottle', 'would', 'make', 'think', 'see', 'results', 'similar', 'photos', 'product', 'page', 'ill', 'get', '.']","['B-PE-NEG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O']"
182,antiaging face serum feels really good applying .,"['antiaging', 'face', 'serum', 'feels', 'really', 'good', 'applying', '.']","['B-VP-POS', 'B_BP', 'B_PT', 'O', 'O', 'O', 'O', 'O']"
183,pump works great dispenses serum thought would clear reason turned white .,"['pump', 'works', 'great', 'dispenses', 'serum', 'thought', 'would', 'clear', 'reason', 'turned', 'white', '.']","['B-PK-POS', 'I-PK-POS', 'I-PK-POS', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'B-AB-NEG', 'I-AB-NEG', 'O']"
184,looks like lotion .,"['looks', 'like', 'lotion', '.']","['O', 'O', 'B_PT', 'O']"
185,applies silky smooth feels like velvet skin .,"['applies', 'silky', 'smooth', 'feels', 'like', 'velvet', 'skin', '.']","['O', 'B-TX-POS', 'B-TX-POS', 'O', 'O', 'O', 'B_BP', 'O']"
186,skin felt quite dewey applying took minutes absorb .,"['skin', 'felt', 'quite', 'dewey', 'applying', 'took', 'minutes', 'absorb', '.']","['B_BP', 'O', 'O', 'B-AP-POS', 'O', 'O', 'O', 'B-AB-NEU', 'O']"
187,fine lines skin .,"['fine', 'lines', 'skin', '.']","['O', 'O', 'B_BP', 'O']"
188,look serum plumping skin texture bit .,"['look', 'serum', 'plumping', 'skin', 'texture', 'bit', '.']","['O', 'B_PT', 'O', 'B_BP', 'O', 'O', 'O']"
189,also uneven skin tone hope help time .,"['also', 'uneven', 'skin', 'tone', 'hope', 'help', 'time', '.']","['O', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'O']"
190,goes smooth .,"['goes', 'smooth', '.']","['O', 'B-TX-POS', 'O']"
191,fixderma hyaluronic acid serum anti ageing pro retinol serum face anti ageing serum fine lines wrinkles face serum men women face serum skin types 30g nice affordable .,"['fixderma', 'hyaluronic', 'acid', 'serum', 'anti', 'ageing', 'pro', 'retinol', 'serum', 'face', 'anti', 'ageing', 'serum', 'fine', 'lines', 'wrinkles', 'face', 'serum', 'men', 'women', 'face', 'serum', 'skin', 'types', '30g', 'nice', 'affordable', '.']","['B_BR', 'B_IN', 'I_IN', 'B_PT', 'B-VP-NEU', 'I-VP-NEU', 'O', 'B_IN', 'B_PT', 'B_BP', 'O', 'O', 'B_PT', 'B-VP-NEU', 'I-VP-NEU', 'B-VP-NEU', 'B_BP', 'B_PT', 'O', 'O', 'B_BP', 'B_PT', 'B_BP', 'O', 'O', 'O', 'B-PE-POS', 'O']"
192,contains many ingredients look serum hyaluronic acid pro retinol looking forward good results .,"['contains', 'many', 'ingredients', 'look', 'serum', 'hyaluronic', 'acid', 'pro', 'retinol', 'looking', 'forward', 'good', 'results', '.']","['O', 'O', 'B_IN', 'O', 'B_PT', 'B_IN', 'I_IN', 'O', 'B_IN', 'O', 'O', 'O', 'O', 'O']"
193,use evening washing toning face using moisturizer .,"['use', 'evening', 'washing', 'toning', 'face', 'using', 'moisturizer', '.']","['O', 'O', 'O', 'O', 'B_BP', 'O', 'B_PT', 'O']"
194,seems gentle skin .,"['seems', 'gentle', 'skin', '.']","['O', 'O', 'B_BP', 'O']"
195,really interesting concept dispense product pumping 3 different serums mix hand .,"['really', 'interesting', 'concept', 'dispense', 'product', 'pumping', '3', 'different', 'serums', 'mix', 'hand', '.']","['O', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
196,like know youre getting products meant target different things .,"['like', 'know', 'youre', 'getting', 'products', 'meant', 'target', 'different', 'things', '.']","['O', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O']"
197,type packaging also helps preserve product longer versus container open expose product air over.i find skin plumper used week im expecting take longer see visible difference lines dark spots .,"['type', 'packaging', 'also', 'helps', 'preserve', 'product', 'longer', 'versus', 'container', 'open', 'expose', 'product', 'air', 'over.i', 'find', 'skin', 'plumper', 'used', 'week', 'im', 'expecting', 'take', 'longer', 'see', 'visible', 'difference', 'lines', 'dark', 'spots', '.']","['O', 'B-PK-POS', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'B_BP', 'B-HY-POS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VP-NEU', 'B-VP-NEU', 'I-VP-NEU', 'O']"
198,scent isnt favorite not awful .,"['scent', 'isnt', 'favorite', 'not', 'awful', '.']","['B-SC-NEG', 'O', 'O', 'O', 'O', 'O']"
199,first time using lancome im excited see works month feel like 75 high bottle size works itll priceless .,"['first', 'time', 'using', 'lancome', 'im', 'excited', 'see', 'works', 'month', 'feel', 'like', '75', 'high', 'bottle', 'size', 'works', 'itll', 'priceless', '.']","['O', 'O', 'O', 'B_BR', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
200,lancme rnergie h.c.f .,"['lancme', 'rnergie', 'h.c.f', '.']","['B_BR', 'O', 'O', 'O']"
201,triple serum contains hyaluronic acid serum contains vitamin c niacinamide ferulic acid .,"['triple', 'serum', 'contains', 'hyaluronic', 'acid', 'serum', 'contains', 'vitamin', 'c', 'niacinamide', 'ferulic', 'acid', '.']","['O', 'B_PT', 'O', 'B_IN', 'I_IN', 'B_PT', 'O', 'B_IN', 'I_IN', 'B_IN', 'B_IN', 'I_IN', 'O']"
202,supposed target correct dark spots wrinkles .,"['supposed', 'target', 'correct', 'dark', 'spots', 'wrinkles', '.']","['O', 'O', 'O', 'B-VP-POS', 'I-VP-POS', 'B-VP-POS', 'O']"
203,take see results amount bottle not much price high .,"['take', 'see', 'results', 'amount', 'bottle', 'not', 'much', 'price', 'high', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PE-POS', 'O', 'O']"
204,scented .,"['scented', '.']","['B-SC-NEU', 'O']"
205,leave skin feeling moisturized .,"['leave', 'skin', 'feeling', 'moisturized', '.']","['O', 'B_BP', 'O', 'B-HY-POS', 'O']"
206,lancme rnergie h.c.f .,"['lancme', 'rnergie', 'h.c.f', '.']","['B_BR', 'O', 'O', 'O']"
207,triple serum,"['triple', 'serum']","['O', 'B_PT']"
208,interestingly designed bottle set ingredients stored separately inside activate simultaneously pump .,"['interestingly', 'designed', 'bottle', 'set', 'ingredients', 'stored', 'separately', 'inside', 'activate', 'simultaneously', 'pump', '.']","['O', 'O', 'B-PK-POS', 'O', 'B_IN', 'O', 'O', 'O', 'O', 'O', 'B-PK-POS', 'O']"
209,comes hyaluronic acid niacinamide ferulic acid mix milky serum .,"['comes', 'hyaluronic', 'acid', 'niacinamide', 'ferulic', 'acid', 'mix', 'milky', 'serum', '.']","['O', 'B_IN', 'I_IN', 'B_IN', 'B_IN', 'I_IN', 'O', 'B-TX-NEU', 'B_PT', 'O']"
210,slight floral scent reminiscent skincare ive used past no way overpowering .,"['slight', 'floral', 'scent', 'reminiscent', 'skincare', 'ive', 'used', 'past', 'no', 'way', 'overpowering', '.']","['O', 'B-SC-NEU', 'I-SC-NEU', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
211,lightly goes absorbs quickly feels super hydrating .,"['lightly', 'goes', 'absorbs', 'quickly', 'feels', 'super', 'hydrating', '.']","['O', 'O', 'B-AB-POS', 'I-AB-POS', 'O', 'B-HY-POS', 'I-HY-POS', 'O']"
212,quite like satin feel leaves behind naturally oily skin not oily sticky tacky one bit .,"['quite', 'like', 'satin', 'feel', 'leaves', 'behind', 'naturally', 'oily', 'skin', 'not', 'oily', 'sticky', 'tacky', 'one', 'bit', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TX-POS', 'B_BP', 'B-TX-POS', 'I-TX-POS', 'B-TX-POS', 'B-TX-POS', 'O', 'O', 'O']"
213,unique design hydrating ingredients less product seems .,"['unique', 'design', 'hydrating', 'ingredients', 'less', 'product', 'seems', '.']","['B-PK-POS', 'I-PK-POS', 'B-HY-POS', 'B_IN', 'O', 'B_PT', 'O', 'O']"
214,triple serumnot fan serum .,"['triple', 'serumnot', 'fan', 'serum', '.']","['O', 'O', 'O', 'B_PT', 'O']"
215,love tried kinds facial serums 73 years .,"['love', 'tried', 'kinds', 'facial', 'serums', '73', 'years', '.']","['O', 'O', 'O', 'B_BP', 'B_PT', 'O', 'O', 'O']"
216,used several lancme products past years .,"['used', 'several', 'lancme', 'products', 'past', 'years', '.']","['O', 'O', 'B_BR', 'B_PT', 'O', 'O', 'O']"
217,present use one sunscreens love triple serum not face least couple reasons .,"['present', 'use', 'one', 'sunscreens', 'love', 'triple', 'serum', 'not', 'face', 'least', 'couple', 'reasons', '.']","['O', 'O', 'O', 'B_PT', 'O', 'O', 'B_PT', 'O', 'B_BP', 'O', 'O', 'O', 'O']"
218,apply goes feeling sticky .,"['apply', 'goes', 'feeling', 'sticky', '.']","['O', 'O', 'O', 'B-TX-NEG', 'O']"
219,15 minutes later less sticky feeling still tacky feeling touch face .,"['15', 'minutes', 'later', 'less', 'sticky', 'feeling', 'still', 'tacky', 'feeling', 'touch', 'face', '.']","['O', 'O', 'O', 'O', 'B-TX-NEG', 'O', 'O', 'B-TX-NEG', 'O', 'O', 'B_BP', 'O']"
220,710 minutes applying face start burning .,"['710', 'minutes', 'applying', 'face', 'start', 'burning', '.']","['O', 'O', 'O', 'B_BP', 'O', 'B-SE-NEG', 'O']"
221,sensitive areas face along upper cheeks .,"['sensitive', 'areas', 'face', 'along', 'upper', 'cheeks', '.']","['B-SE-NEG', 'O', 'B_BP', 'O', 'B_BP', 'I_BP', 'O']"
222,serum burns well upper lip area no hadnt waxed area area chin also burned never problem lips something doesnt agree skin .,"['serum', 'burns', 'well', 'upper', 'lip', 'area', 'no', 'hadnt', 'waxed', 'area', 'area', 'chin', 'also', 'burned', 'never', 'problem', 'lips', 'something', 'doesnt', 'agree', 'skin', '.']","['B_PT', 'B-SE-NEG', 'O', 'B_BP', 'I_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'B_BP', 'O', 'B-SE-NEG', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'B_BP', 'O']"
223,burning lasts least 20 minutes isnt something cant stand wonder harming skin .,"['burning', 'lasts', 'least', '20', 'minutes', 'isnt', 'something', 'cant', 'stand', 'wonder', 'harming', 'skin', '.']","['B-SE-NEG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SE-NEG', 'B_BP', 'O']"
224,keep using product days see get used .,"['keep', 'using', 'product', 'days', 'see', 'get', 'used', '.']","['O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O']"
225,dont know even possible really would like lighten dark spots.since 0.67 ounces bottle wont last long time .,"['dont', 'know', 'even', 'possible', 'really', 'would', 'like', 'lighten', 'dark', 'spots.since', '0.67', 'ounces', 'bottle', 'wont', 'last', 'long', 'time', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VP-NEU', 'B-VP-NEU', 'I-VP-NEU', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
226,wish lancme would put information product listing page .,"['wish', 'lancme', 'would', 'put', 'information', 'product', 'listing', 'page', '.']","['O', 'B_BR', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O']"
227,present time not bullet type selling features besides one word used brightening .,"['present', 'time', 'not', 'bullet', 'type', 'selling', 'features', 'besides', 'one', 'word', 'used', 'brightening', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VP-NEU', 'O']"
228,since hardly information placed order ordered based solely product brand name lancme time disappointment .,"['since', 'hardly', 'information', 'placed', 'order', 'ordered', 'based', 'solely', 'product', 'brand', 'name', 'lancme', 'time', 'disappointment', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'B_BR', 'O', 'O', 'O']"
229,bottle beautiful makes serum expensive double disappointment.i surprised opinion serum much lower 4 reviewers rated 4 stars based stinging long lasting tacky feeling lack listing info perceived value point cant rate higher 2 stars surprise even comes rate .,"['bottle', 'beautiful', 'makes', 'serum', 'expensive', 'double', 'disappointment.i', 'surprised', 'opinion', 'serum', 'much', 'lower', '4', 'reviewers', 'rated', '4', 'stars', 'based', 'stinging', 'long', 'lasting', 'tacky', 'feeling', 'lack', 'listing', 'info', 'perceived', 'value', 'point', 'cant', 'rate', 'higher', '2', 'stars', 'surprise', 'even', 'comes', 'rate', '.']","['B-PK-POS', 'I-PK-POS', 'O', 'B_PT', 'B-PE-NEG', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SE-NEG', 'O', 'O', 'B-TX-NEG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
230,dont sensitive areas face could rate higher you.ingredients copied boxingredients aqua water eau dipropylene glycol glycerin butylene glycol propylene glycol alcohol niacinamide isopropyl lauroyl sarcosinate pentylene glycol cl 77891 titaniumdioxide guanosine mica tocopheryl acetate hydrolyzed linseed extract sodium acetylated hyaluronate sodium benzoate phenoxyethanol phenylethyl resorcinol stearic acid adenosine caffeine peg100 stearate polyacrylate crosspolymer6 silica silylate palmitic acid polysorbate 20 polysorbate 80 ammoniumpolyacryloyldimethyl taurate limonene xanthan gum tin oxide benzyl alcohol isohexadecane 30ethyl ascorbic acid caprylyl glycol capryloyl salicylic acid boron nitride ferulic acid acrylamidesodium acryloyldimethyltaurate copolymer sorbitan oleate myristic acid geraniol octocrylene butyl methoxydibenzoylmethane potassium cetylphosphate octyldodecanol cetyl alcohol octyldodecyl xyloside cricacid citronellol glyceryl stearate parfum fragrance fil t2603707 causes face sting,"['dont', 'sensitive', 'areas', 'face', 'could', 'rate', 'higher', 'you.ingredients', 'copied', 'boxingredients', 'aqua', 'water', 'eau', 'dipropylene', 'glycol', 'glycerin', 'butylene', 'glycol', 'propylene', 'glycol', 'alcohol', 'niacinamide', 'isopropyl', 'lauroyl', 'sarcosinate', 'pentylene', 'glycol', 'cl', '77891', 'titaniumdioxide', 'guanosine', 'mica', 'tocopheryl', 'acetate', 'hydrolyzed', 'linseed', 'extract', 'sodium', 'acetylated', 'hyaluronate', 'sodium', 'benzoate', 'phenoxyethanol', 'phenylethyl', 'resorcinol', 'stearic', 'acid', 'adenosine', 'caffeine', 'peg100', 'stearate', 'polyacrylate', 'crosspolymer6', 'silica', 'silylate', 'palmitic', 'acid', 'polysorbate', '20', 'polysorbate', '80', 'ammoniumpolyacryloyldimethyl', 'taurate', 'limonene', 'xanthan', 'gum', 'tin', 'oxide', 'benzyl', 'alcohol', 'isohexadecane', '30ethyl', 'ascorbic', 'acid', 'caprylyl', 'glycol', 'capryloyl', 'salicylic', 'acid', 'boron', 'nitride', 'ferulic', 'acid', 'acrylamidesodium', 'acryloyldimethyltaurate', 'copolymer', 'sorbitan', 'oleate', 'myristic', 'acid', 'geraniol', 'octocrylene', 'butyl', 'methoxydibenzoylmethane', 'potassium', 'cetylphosphate', 'octyldodecanol', 'cetyl', 'alcohol', 'octyldodecyl', 'xyloside', 'cricacid', 'citronellol', 'glyceryl', 'stearate', 'parfum', 'fragrance', 'fil', 't2603707', 'causes', 'face', 'sting']","['O', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_IN', 'B_IN', 'B_IN', 'B_IN', 'B_IN', 'B_IN', 'B_IN', 'B_IN', 'B_IN', 'B_IN', 'B_IN', 'B_IN', 'B_IN', 'O', 'O', 'O', 'B_IN', 'B_IN', 'O', 'B_IN', 'B_IN', 'O', 'O', 'O', 'B_IN', 'O', 'O', 'B_IN', 'I_IN', 'B_IN', 'B_IN', 'B_IN', 'B_IN', 'I_IN', 'B_IN', 'B_IN', 'O', 'O', 'B_IN', 'O', 'O', 'O', 'B_IN', 'I_IN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_IN', 'I_IN', 'O', 'O', 'B_IN', 'I_IN', 'O', 'O', 'O', 'B_IN', 'I_IN', 'O', 'O', 'B_IN', 'I_IN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
231,lancome renergie h.c.f .,"['lancome', 'renergie', 'h.c.f', '.']","['B_BR', 'O', 'O', 'O']"
232,hyaluronic acid serum light silky absorbs quickly used face without stickiness .,"['hyaluronic', 'acid', 'serum', 'light', 'silky', 'absorbs', 'quickly', 'used', 'face', 'without', 'stickiness', '.']","['B_IN', 'I_IN', 'B_PT', 'B-TX-POS', 'B-TX-POS', 'B-AB-POS', 'O', 'O', 'B_BP', 'B-TX-POS', 'I-TX-POS', 'O']"
233,use feel changes skin feel tighter smoother .,"['use', 'feel', 'changes', 'skin', 'feel', 'tighter', 'smoother', '.']","['O', 'O', 'O', 'B_BP', 'O', 'B-VP-POS', 'B-VP-POS', 'O']"
234,packaging design exquisite dosage also low drops time applied entire face .,"['packaging', 'design', 'exquisite', 'dosage', 'also', 'low', 'drops', 'time', 'applied', 'entire', 'face', '.']","['B-PK-POS', 'I-PK-POS', 'I-PK-POS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_BP', 'O']"
235,want fight signs aging improve skin serum really worth try .,"['want', 'fight', 'signs', 'aging', 'improve', 'skin', 'serum', 'really', 'worth', 'try', '.']","['O', 'O', 'O', 'B-VP-POS', 'I-VP-POS', 'B_BP', 'B_PT', 'O', 'O', 'O', 'O']"
236,light silky not sticky,"['light', 'silky', 'not', 'sticky']","['B-TX-POS', 'B-TX-POS', 'B-TX-POS', 'I-TX-POS']"
237,easy use bottle squirts 3 products mix applying .,"['easy', 'use', 'bottle', 'squirts', '3', 'products', 'mix', 'applying', '.']","['O', 'O', 'B-PK-POS', 'O', 'O', 'O', 'O', 'O', 'O']"
238,dispense hand mix pat face .,"['dispense', 'hand', 'mix', 'pat', 'face', '.']","['O', 'B_BP', 'O', 'O', 'B_BP', 'O']"
239,serum soaks well .,"['serum', 'soaks', 'well', '.']","['B_PT', 'B-AB-POS', 'I-AB-POS', 'O']"
240,smell bit weird first time using lancome .,"['smell', 'bit', 'weird', 'first', 'time', 'using', 'lancome', '.']","['B-SC-NEG', 'I-SC-NEG', 'I-SC-NEG', 'O', 'O', 'O', 'B_BR', 'O']"
241,dont get much bottle less ounce pricey .,"['dont', 'get', 'much', 'bottle', 'less', 'ounce', 'pricey', '.']","['O', 'O', 'O', 'B-PK-POS', 'O', 'O', 'O', 'O']"
242,no spf product need put one going outside using morning .,"['no', 'spf', 'product', 'need', 'put', 'one', 'going', 'outside', 'using', 'morning', '.']","['O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
243,time tell anything skin .,"['time', 'tell', 'anything', 'skin', '.']","['O', 'O', 'O', 'B_BP', 'O']"
244,using vitamin c serum another brand found effective not also include kind acid resurfacing skin .,"['using', 'vitamin', 'c', 'serum', 'another', 'brand', 'found', 'effective', 'not', 'also', 'include', 'kind', 'acid', 'resurfacing', 'skin', '.']","['O', 'B_IN', 'I_IN', 'B_PT', 'O', 'O', 'O', 'B-EF-NEU', 'O', 'O', 'O', 'O', 'B_IN', 'O', 'B_BP', 'O']"
245,one two interior compartments combine upon pushing pump let right amount reaching actual skin rather dead skin cells.i used weeks alongside normal facial care routine happy notice visible difference bright skin looked also texture surface skin .,"['one', 'two', 'interior', 'compartments', 'combine', 'upon', 'pushing', 'pump', 'let', 'right', 'amount', 'reaching', 'actual', 'skin', 'rather', 'dead', 'skin', 'cells.i', 'used', 'weeks', 'alongside', 'normal', 'facial', 'care', 'routine', 'happy', 'notice', 'visible', 'difference', 'bright', 'skin', 'looked', 'also', 'texture', 'surface', 'skin', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PK-NEU', 'O', 'O', 'O', 'B-AB-POS', 'O', 'B_BP', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VP-POS', 'B_BP', 'O', 'O', 'B-TX-POS', 'O', 'B_BP', 'O']"
246,felt lot radiant though moisturizer sinking better well.i really appreciate pump dispenser doesnt allow product get contaminated bacteria also really like not scented dont think fragrances role skincare face generally find irritating .,"['felt', 'lot', 'radiant', 'though', 'moisturizer', 'sinking', 'better', 'well.i', 'really', 'appreciate', 'pump', 'dispenser', 'doesnt', 'allow', 'product', 'get', 'contaminated', 'bacteria', 'also', 'really', 'like', 'not', 'scented', 'dont', 'think', 'fragrances', 'role', 'skincare', 'face', 'generally', 'find', 'irritating', '.']","['O', 'O', 'B-VP-POS', 'O', 'B_PT', 'B-AB-NEU', 'O', 'O', 'O', 'O', 'B-PK-POS', 'I-PK-POS', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SC-POS', 'I-SC-POS', 'O', 'O', 'B-SC-NEU', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'O']"
247,overall effective thoughtfully designed product works .,"['overall', 'effective', 'thoughtfully', 'designed', 'product', 'works', '.']","['O', 'B-EF-POS', 'B-PK-POS', 'I-PK-POS', 'B_PT', 'O', 'O']"
248,highly effective glycolic vitamin c serum,"['highly', 'effective', 'glycolic', 'vitamin', 'c', 'serum']","['B-EF-POS', 'I-EF-POS', 'B_IN', 'B_IN', 'I_IN', 'B_PT']"
249,vitamin c skincare around bit ive used plenty brands claim vitamin c product diminish fine line help skin turnover time .,"['vitamin', 'c', 'skincare', 'around', 'bit', 'ive', 'used', 'plenty', 'brands', 'claim', 'vitamin', 'c', 'product', 'diminish', 'fine', 'line', 'help', 'skin', 'turnover', 'time', '.']","['B_IN', 'I_IN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_IN', 'I_IN', 'B_PT', 'B-VP-POS', 'I-VP-POS', 'I-VP-POS', 'O', 'B_BP', 'O', 'O', 'O']"
250,stuck product 3 weeks noticing acne scar fading .,"['stuck', 'product', '3', 'weeks', 'noticing', 'acne', 'scar', 'fading', '.']","['O', 'B_PT', 'O', 'O', 'O', 'B-VP-POS', 'I-VP-POS', 'I-VP-POS', 'O']"
251,ever little working serum less harsh vitamin c serum ive used past .,"['ever', 'little', 'working', 'serum', 'less', 'harsh', 'vitamin', 'c', 'serum', 'ive', 'used', 'past', '.']","['O', 'O', 'O', 'B_PT', 'O', 'O', 'B_IN', 'I_IN', 'B_PT', 'O', 'O', 'O', 'O']"
252,everyone knows vitamin c good skin,"['everyone', 'knows', 'vitamin', 'c', 'good', 'skin']","['O', 'O', 'B_IN', 'I_IN', 'O', 'B_BP']"
253,doesnt cause breakout redness .,"['doesnt', 'cause', 'breakout', 'redness', '.']","['B-SE-POS', 'I-SE-POS', 'B-SE-POS', 'B-SE-POS', 'O']"
254,recommend good face wash using serum skin absorb serum better .,"['recommend', 'good', 'face', 'wash', 'using', 'serum', 'skin', 'absorb', 'serum', 'better', '.']","['O', 'O', 'B_PT', 'I_PT', 'O', 'B_PT', 'B_BP', 'B-AB-POS', 'B_PT', 'O', 'O']"
255,serum doesnt feel greasy sticky .,"['serum', 'doesnt', 'feel', 'greasy', 'sticky', '.']","['B_PT', 'B-TX-POS', 'I-TX-POS', 'B-TX-POS', 'B-TX-POS', 'O']"
256,makes skin feel soft brightened .,"['makes', 'skin', 'feel', 'soft', 'brightened', '.']","['O', 'B_BP', 'O', 'B-VP-POS', 'B-VP-POS', 'O']"
257,dry skin looked dull crack .,"['dry', 'skin', 'looked', 'dull', 'crack', '.']","['B-HY-NEU', 'B_BP', 'O', 'O', 'O', 'O']"
258,using serum 2 weeks love way skin looks feels .,"['using', 'serum', '2', 'weeks', 'love', 'way', 'skin', 'looks', 'feels', '.']","['O', 'B_PT', 'O', 'O', 'O', 'O', 'B_BP', 'O', 'O', 'O']"
259,little pricy well works well skin not .,"['little', 'pricy', 'well', 'works', 'well', 'skin', 'not', '.']","['O', 'B-PE-NEG', 'O', 'O', 'O', 'B_BP', 'O', 'O']"
260,34 little pumps covers entire face neck .,"['34', 'little', 'pumps', 'covers', 'entire', 'face', 'neck', '.']","['O', 'O', 'O', 'O', 'O', 'B_BP', 'B_BP', 'O']"
261,use twice day morning bedtime together routine day night moisturizer cream .,"['use', 'twice', 'day', 'morning', 'bedtime', 'together', 'routine', 'day', 'night', 'moisturizer', 'cream', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'B_PT', 'O']"
262,feel pleasant put face .,"['feel', 'pleasant', 'put', 'face', '.']","['O', 'O', 'O', 'B_BP', 'O']"
263,definitely recommend checking serum looking vitamin c serum .,"['definitely', 'recommend', 'checking', 'serum', 'looking', 'vitamin', 'c', 'serum', '.']","['O', 'O', 'O', 'B_PT', 'O', 'B_IN', 'I_IN', 'B_PT', 'O']"
264,good vitamin c serum,"['good', 'vitamin', 'c', 'serum']","['O', 'B_IN', 'I_IN', 'B_PT']"
265,initially got familiar name thought id give try since hadnt used products brand .,"['initially', 'got', 'familiar', 'name', 'thought', 'id', 'give', 'try', 'since', 'hadnt', 'used', 'products', 'brand', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'O']"
266,packaging rather nice wasnt sure expect pump looked product comes like typical face moisturizer .,"['packaging', 'rather', 'nice', 'wasnt', 'sure', 'expect', 'pump', 'looked', 'product', 'comes', 'like', 'typical', 'face', 'moisturizer', '.']","['B-PK-POS', 'I-PK-POS', 'I-PK-POS', 'O', 'O', 'O', 'B-PK-POS', 'O', 'B_PT', 'O', 'O', 'O', 'B_BP', 'B_PT', 'O']"
